name,email,phone_number,birthday,ssn,credit_card_number,name_masked,credit_card_number_masked,ssn_tokenized,email_tokenized,age_range,phone_number_noisy
Daniel Stewart,smorris@example.net,1400909935389253,2005-05-29,667-89-3104,4916689548128615,**************,****************,gAAAAABmZnCfTsglJo7VcNmKAS1IKMtNwnITD5MbLURf97aUrqr6cs8Wfiqj26UNK2CBr0LD6GNohHwgguAsaitbfIIKosiUhw==,gAAAAABmZnCf78sxzyhXFzAdZwJEHjSID4MQKAJIdQLc_5F13wUhuwKozuHg9HyFMGRUEBejrsX1rv2m2kwLpurdbK5Hh1deRjJbW6PfThHwtod7lxrzurE=,18-29,1400909935389254.0
Nichole Mclaughlin,sarah37@example.org,7724268386,2015-11-04,800-62-2256,3567043876110460,******************,****************,gAAAAABmZnCfWD56AyqKUUbebAeSB8q1nwcd9cSXd0SzXtqJjyos4pAP1ODzWWRe9oBJZJxXTPkDW5sbV1l1FCSzXIYxTD5tug==,gAAAAABmZnCftLJ6dLmU1qOPqaByBHs6yQu4C4Mc8q7CxF2eu0EU5yblTABGdY9whJBNFx-aEd_d-sK9iMi3gYDuiQjcp98s4-K1hmttqT5ZjI82oWyPy6w=,0-17,7724268389.702427
Ethan Cruz,patrickpearson@example.net,18695725845,2023-10-27,252-40-7663,675942093161,**********,************,gAAAAABmZnCfkHVy2hEkesAB8_6n263HoX_AMOCGkkHr-LD0ztGuGShmp5KttPukijksUBfIv2FdYZp5wRMBOkcXH7J8gAmZww==,gAAAAABmZnCfBWOHbvk18uG9_mWjGJ-m9im6yfGA621NnKG1tXBwuOy2r4yrvMpLb_gkZ0moqTRaubz7jLqoFP_g80VoaSYZlcb4KHRLqlfmTlHUikS5JT8=,0-17,18695725845.12622
Nicholas Benson,ddougherty@example.org,60379978529300,1956-01-02,074-73-2123,4785477432154210869,***************,*******************,gAAAAABmZnCfWE5xPlFUsSRIgcXQuRqfby9H1fx8ieEth9AGifWeUdcQRbtWdUbRVD5C2Xj75JFPJo03EQkwCFpZx9aRDzvRdA==,gAAAAABmZnCfYoqV_dwL-j9w5qjmyMS2tqek7TO05JCPqU6TRdhv5xJ6dIgYoboQj4SJhuBdYCX6kPXhoCkk_fbkoNiFIf8g9ZeUdqiCv4qEES0P4qq2hE8=,60+,60379978529300.15
Michael Campbell,lferguson@example.net,175248636004897,1995-01-02,350-71-4539,6011093099422163,****************,****************,gAAAAABmZnCf7fIUi2DpDyjbo-Q_wQXFYYlXXLADryFFI8UduI3y7Ksu5ccDErHQYkQD_i-kFs_-QLJjet1DQwslbKtGrRYYqg==,gAAAAABmZnCfxIxl97KyE9zceqvOd78XqrlA_E8ht5oN5JvNfua-oNBQqBUMxJ12BL8ZlEkHdV_cAtzbIoWeb05ns5mvtvRHX7II1kzN3J4_rwdvLxXXWZA=,18-29,175248636004896.62
Renee Watts,mckenziejennifer@example.com,7822103219,1996-08-18,662-96-8078,4008963679836307,***********,****************,gAAAAABmZnCfLFfGHA962yD6EuU9GUN7Y9DnfAjPE0z-XpSymOmPQDeKOPnd3fTPwOtMLPzyJdYYoEmuLP1szX1e_3RWLvVR4g==,gAAAAABmZnCfqxOL0gTSR1ppAVE3y-V3zHkhMcLiAilYJ_P3UGVBX7mZCdidRlkWdULe5Zn-DEANWIy7HR-d0CnbV3MRkofUl533nb0IdlZz1gaU27YVw9E=,18-29,7822103217.518451
Rose Walter,youngscott@example.com,6092632316,1968-08-31,501-88-8358,2426610722087952,***********,****************,gAAAAABmZnCfgAzMjXAiQAoSaUD0jW5JnssRUBmaTT3Cpc-NIj_-9JPNFQ5FT4c9DCOiKtxPj9EAFgQQlxi5pFnPnwDfPpsGyQ==,gAAAAABmZnCfpaLIVjdTuxSiE1ZaZLoZR7kzf3KIr_UiisBWOCQ36ceXAOz1dUGyUi_6oQLLB3eM7MEojybHIDpPpN2fMFm06o4TOzRCqwjTRKRiw4lDTtA=,45-59,6092632317.751229
Julia Acosta,nicole64@example.com,15025105867,2001-04-09,154-17-8413,377937134858065,************,***************,gAAAAABmZnCffUemcmm-qu7IeFJ1dT6OEXBceEcVpsByVYQxx3w6qNNXWlKjWELUVA-Mn6q76z3CHQc0cZpZbcweVMhK9fPpyA==,gAAAAABmZnCfoqonxeJF4sR4ilVcNsZE8NXe2gC-nXfssAGaIcIflMv4Rxmdk5YJX8XGwt1pPS10HAaSpX3QU06mApwwfS3Pafw4M5yrCWMFz5FTS8AP5oU=,18-29,15025105865.945
Anthony Collins,brandon19@example.org,949597280341996,1960-01-14,803-37-4841,4085601636837,***************,*************,gAAAAABmZnCfbbkovH_5RbZ5vt1qeTpTehyzS7nIgn9ylN4wKLAZYTQEm1RVgAylir5jtD2PaGX1yrDnZkWlcXmQC2DW-Io-yw==,gAAAAABmZnCfplEGlVOJRhoQZvIg3yJG3lcKIqLMu5mXeH4VnOVsWMSm4Z03BSIBmC0kxH6gVfNAmpMuibMwyPxmUEzp4qlxnfkY5QbHu3S6O_smoNTc2LM=,60+,949597280341996.1
Kelly Rhodes,marshalleric@example.org,1532213645267182,2013-10-14,596-94-1292,4332421432561602,************,****************,gAAAAABmZnCfEWNpM6-szQZcFVNj4ISXr3jOSfTGP-odpygyev5grO-edGNpe0qir-KmqpW4r8GbwxhSjVBCltYMH3mA-rzuog==,gAAAAABmZnCfovsC43vRHUfXCL12TOE0qsJ88eVIjAxevqBOy2Y4NJ5u9G515JW13P04N2pLJg77PnlOiVbLTH9_Xgn4yaDT1LWLFbEiyVcO5Fkar7yV-6A=,0-17,1532213645267182.8
